Depth,Calcite,Dolomite,Pyrite,Porosity,Bulk_Porosity,Volume_Closure,RMSE
3337.8,0.6341,0.0,0.1593,0.2066,0.1884,1.0,0.1867
3337.9,0.6332,0.0,0.155,0.2117,0.1927,1.0,0.1904
3338.0,0.6157,0.0,0.1595,0.2248,0.2049,1.0,0.2013
3338.1,0.595,0.0,0.1682,0.2368,0.2166,1.0,0.2206
3338.2,0.5697,0.0,0.1806,0.2497,0.2291,1.0,0.2413
3338.3,0.5517,0.0,0.1904,0.2579,0.2364,1.0,0.2589
3338.4,0.5396,0.0,0.1962,0.2642,0.2431,1.0,0.2661
3338.5,0.5474,0.0,0.1927,0.26,0.2398,1.0,0.2622
3338.6,0.5698,0.0,0.1822,0.248,0.2282,1.0,0.2491
3338.7,0.597,0.0,0.17,0.2331,0.2139,1.0,0.2365
3338.8,0.6122,0.0,0.1629,0.2249,0.2071,1.0,0.2261
3338.9,0.6193,0.0,0.1606,0.2201,0.2038,1.0,0.222
3339.0,0.6139,0.0,0.1647,0.2214,0.2061,1.0,0.2222
3339.1,0.5997,0.0,0.1729,0.2274,0.2125,1.0,0.2242
3339.2,0.5876,0.0,0.1801,0.2323,0.2164,1.0,0.229
3339.3,0.5769,0.0,0.185,0.2381,0.2197,1.0,0.2335
3339.4,0.5738,0.0,0.1863,0.2399,0.2189,1.0,0.2415
3339.5,0.5697,0.0,0.1884,0.2419,0.2209,1.0,0.2518
3339.6,0.569,0.0,0.1894,0.2416,0.2209,1.0,0.2561
3339.7,0.5743,0.0,0.1878,0.2379,0.2184,1.0,0.251
3339.8,0.5998,0.0,0.1785,0.2218,0.2025,1.0,0.2416
3339.9,0.6198,0.0,0.1718,0.2084,0.1895,1.0,0.2332
3340.0,0.6279,0.0,0.1707,0.2014,0.1836,1.0,0.2357
3340.1,0.6277,0.0,0.172,0.2003,0.1845,1.0,0.2438
3340.2,0.6283,0.0,0.1699,0.2018,0.1879,1.0,0.2426
3340.3,0.6383,0.0,0.1618,0.2,0.1881,1.0,0.2328
3340.4,0.6501,0.0,0.1514,0.1984,0.1885,1.0,0.2147
3340.5,0.656,0.0,0.1429,0.2011,0.1919,1.0,0.1903
3340.6,0.6695,0.0,0.1336,0.197,0.1874,1.0,0.1768
3340.7,0.6696,0.0,0.1314,0.1989,0.1878,1.0,0.1714
3340.8,0.6558,0.0,0.138,0.2062,0.1937,1.0,0.179
3340.9,0.6415,0.0,0.1463,0.2123,0.1987,1.0,0.1889
3341.0,0.6352,0.0,0.1509,0.214,0.1997,1.0,0.1934
3341.1,0.6234,0.0,0.1573,0.2193,0.2047,1.0,0.2008
3341.2,0.5876,0.0,0.1742,0.2382,0.2231,1.0,0.2196
3341.3,0.5405,0.0,0.1971,0.2624,0.247,1.0,0.2504
3341.4,0.4977,0.0,0.2168,0.2855,0.27,1.0,0.2782
3341.5,0.4796,0.0,0.2237,0.2967,0.2815,1.0,0.2967
3341.6,0.4791,0.0,0.2209,0.3,0.2851,1.0,0.3039
3341.7,0.4914,0.0,0.2123,0.2963,0.2811,1.0,0.3051
3341.8,0.508,0.0,0.2033,0.2888,0.2729,1.0,0.3021
3341.9,0.5134,0.0,0.2,0.2866,0.2709,1.0,0.2929
3342.0,0.523,0.0,0.1968,0.2802,0.2639,1.0,0.2827
3342.1,0.5361,0.0,0.1924,0.2715,0.2549,1.0,0.2722
3342.2,0.5521,0.0,0.1869,0.2611,0.2442,1.0,0.2647
3342.3,0.5562,0.0,0.1869,0.2569,0.2397,1.0,0.2651
3342.4,0.5604,0.0,0.187,0.2527,0.2352,1.0,0.2656
3342.5,0.5453,0.0,0.1948,0.26,0.2421,1.0,0.2683
3342.6,0.5301,0.0,0.202,0.2679,0.25,1.0,0.2726
3342.7,0.5164,0.0,0.2082,0.2754,0.2569,1.0,0.2778
3342.8,0.5046,0.0,0.2138,0.2816,0.2622,1.0,0.2832
3342.9,0.5017,0.0,0.2162,0.2822,0.2608,1.0,0.2862
3343.0,0.5048,0.0,0.2163,0.2788,0.2564,1.0,0.288
3343.1,0.5087,0.0,0.2159,0.2754,0.2526,1.0,0.287
3343.2,0.5156,0.0,0.2139,0.2705,0.2464,1.0,0.2831
3343.3,0.5218,0.0,0.2122,0.266,0.2415,1.0,0.2837
3343.4,0.534,0.0,0.2083,0.2577,0.2328,1.0,0.2883
3343.5,0.5389,0.0,0.208,0.2531,0.2291,1.0,0.2957
3343.6,0.54,0.0,0.2111,0.249,0.2262,1.0,0.305
3343.7,0.5317,0.0,0.2197,0.2486,0.228,1.0,0.3136
3343.8,0.527,0.0,0.2272,0.2459,0.2269,1.0,0.3163
3343.9,0.5307,0.0,0.2295,0.2398,0.2231,1.0,0.3125
3344.0,0.54,0.0,0.2255,0.2345,0.2188,1.0,0.2969
3344.1,0.5566,0.0,0.2157,0.2277,0.2118,1.0,0.279
3344.2,0.5758,0.0,0.2033,0.2209,0.2032,1.0,0.2635
3344.3,0.5835,0.0,0.1948,0.2217,0.2028,1.0,0.2532
3344.4,0.5832,0.0,0.1901,0.2268,0.2069,1.0,0.2479
3344.5,0.5817,0.0,0.1881,0.2301,0.2093,1.0,0.2479
3344.6,0.5735,0.0,0.192,0.2345,0.2134,1.0,0.2543
3344.7,0.5691,0.0,0.1958,0.2352,0.214,1.0,0.2605
